Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,half_time_result_sum,final_result_sum,home_team_proportion,away_team_proportion,TimeNew,TimeSlot,Day,Month,Year,Weekday,Weekend,0.5_under_half,1.5_under_half,2.5_under_half,0.5_under_final,1.5_under_final,2.5_under_final,3.5_under_final,4.5_under_final,0.5_above_half,1.5_above_half,2.5_above_half,0.5_above_final,1.5_above_final,2.5_above_final,3.5_above_final,4.5_above_final,mutual_goal,MS_1_under_1_5,MS_2_under_1_5,MS_0_under_1_5,MS_1_above_1_5,MS_2_above_1_5,MS_0_above_1_5,MS_1_under_2_5,MS_2_under_2_5,MS_0_under_2_5,MS_1_above_2_5,MS_2_above_2_5,MS_0_above_2_5,MS_1_under_3_5,MS_2_under_3_5,MS_0_under_3_5,MS_1_above_3_5,MS_2_above_3_5,MS_0_above_3_5,MS_1_under_4_5,MS_2_under_4_5,MS_0_under_4_5,MS_1_above_4_5,MS_2_above_4_5,MS_0_above_4_5
2019-08-31,15:00,Newcastle,Watford,1,1,0,1,1,0,13,13,5,3,5,11,6,5,2,3,0,0,2,2,38.46153846153847,23.076923076923077,15,Morning,31,8,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-08-31,15:00,West Ham,Norwich,2,0,1,1,0,1,18,8,8,3,16,10,8,2,2,1,0,0,1,2,44.44444444444444,37.5,15,Morning,31,8,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-08-31,17:30,Burnley,Liverpool,0,3,2,0,2,2,7,15,2,7,10,16,6,4,0,0,0,0,2,3,28.57142857142857,46.666666666666664,17,Afternoon,31,8,2019,5,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-09-01,14:00,Everton,Wolves,3,2,1,2,1,1,15,8,6,5,12,12,7,7,1,4,0,1,3,5,40.0,62.5,14,Morning,1,9,2019,6,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-01,16:30,Arsenal,Tottenham,2,2,0,1,2,2,26,13,8,9,13,19,11,6,3,5,0,0,3,4,30.76923076923077,69.23076923076923,16,Afternoon,1,9,2019,6,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-14,12:30,Liverpool,Newcastle,3,1,1,2,1,1,21,8,9,1,5,4,10,1,0,0,0,0,3,4,42.857142857142854,12.5,12,Morning,14,9,2019,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-09-14,15:00,Brighton,Burnley,1,1,0,0,0,0,14,7,5,1,13,7,3,6,0,2,0,0,0,2,35.714285714285715,14.285714285714285,15,Morning,14,9,2019,5,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-09-14,15:00,Man United,Leicester,1,0,1,1,0,1,10,9,5,3,14,14,3,9,1,2,0,0,1,1,50.0,33.33333333333333,15,Morning,14,9,2019,5,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-14,15:00,Sheffield United,Southampton,0,1,2,0,0,0,17,11,4,7,10,7,12,6,1,1,1,0,0,1,23.52941176470588,63.63636363636363,15,Morning,14,9,2019,5,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-09-14,15:00,Tottenham,Crystal Palace,4,0,1,4,0,1,13,11,5,6,19,11,4,3,4,2,0,0,4,4,38.46153846153847,54.54545454545454,15,Morning,14,9,2019,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-09-14,15:00,Wolves,Chelsea,2,5,2,0,3,2,11,15,4,6,8,11,7,5,1,2,0,0,3,7,36.36363636363637,40.0,15,Morning,14,9,2019,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
